,k5,k6,k7,score,score_init
343,10.0,26.05263158,0.192105263,456,1138
344,10.0,26.05263158,0.212894737,419,1138
345,10.0,26.05263158,0.233684211,374,1138
346,10.0,26.05263158,0.254473684,432,1138
347,10.0,26.05263158,0.275263158,360,1138
348,10.0,26.05263158,0.296052632,793,1138
349,10.0,26.05263158,0.316842105,925,1138
350,10.0,26.05263158,0.33763157899999996,876,1138
351,10.0,26.05263158,0.358421053,1041,1138
352,10.0,26.05263158,0.379210526,1139,1138
353,10.0,26.05263158,0.4,1249,1138
354,10.0,27.36842105,0.005,3991,1138
355,10.0,27.36842105,0.025789474,407,1138
356,10.0,27.36842105,0.046578947,431,1138
357,10.0,27.36842105,0.067368421,408,1138
358,10.0,27.36842105,0.088157895,457,1138
359,10.0,27.36842105,0.108947368,454,1138
360,10.0,27.36842105,0.129736842,433,1138
361,10.0,27.36842105,0.150526316,498,1138
362,10.0,27.36842105,0.171315789,447,1138
363,10.0,27.36842105,0.192105263,390,1138
364,10.0,27.36842105,0.212894737,366,1138
365,10.0,27.36842105,0.233684211,430,1138
366,10.0,27.36842105,0.254473684,430,1138
367,10.0,27.36842105,0.275263158,457,1138
368,10.0,27.36842105,0.296052632,814,1138
369,10.0,27.36842105,0.316842105,967,1138
370,10.0,27.36842105,0.33763157899999996,914,1138
371,10.0,27.36842105,0.358421053,1077,1138
372,10.0,27.36842105,0.379210526,1127,1138
373,10.0,27.36842105,0.4,1128,1138
374,10.0,28.68421053,0.005,4038,1138
375,10.0,28.68421053,0.025789474,481,1138
376,10.0,28.68421053,0.046578947,371,1138
377,10.0,28.68421053,0.067368421,392,1138
378,10.0,28.68421053,0.088157895,466,1138
379,10.0,28.68421053,0.108947368,435,1138
380,10.0,28.68421053,0.129736842,407,1138
381,10.0,28.68421053,0.150526316,429,1138
382,10.0,28.68421053,0.171315789,422,1138
383,10.0,28.68421053,0.192105263,469,1138
384,10.0,28.68421053,0.212894737,419,1138
385,10.0,28.68421053,0.233684211,374,1138
386,10.0,28.68421053,0.254473684,399,1138
387,10.0,28.68421053,0.275263158,491,1138
388,10.0,28.68421053,0.296052632,870,1138
389,10.0,28.68421053,0.316842105,1032,1138
390,10.0,28.68421053,0.33763157899999996,929,1138
391,10.0,28.68421053,0.358421053,1099,1138
392,10.0,28.68421053,0.379210526,1145,1138
393,10.0,28.68421053,0.4,1182,1138
394,10.0,30.0,0.005,4005,1138
395,10.0,30.0,0.025789474,486,1138
396,10.0,30.0,0.046578947,441,1138
397,10.0,30.0,0.048867018,431,1138
398,10.0,30.0,0.067368421,459,1138
399,10.0,30.0,0.088157895,461,1138
400,10.0,30.0,0.108947368,475,1138
401,10.0,30.0,0.129736842,474,1138
402,10.0,30.0,0.150526316,431,1138
403,10.0,30.0,0.171315789,401,1138
404,10.0,30.0,0.192105263,469,1138
405,10.0,30.0,0.212894737,399,1138
406,10.0,30.0,0.233684211,447,1138
407,10.0,30.0,0.254473684,470,1138
408,10.0,30.0,0.275263158,493,1138
409,10.0,30.0,0.296052632,804,1138
410,10.0,30.0,0.316842105,876,1138
411,10.0,30.0,0.33763157899999996,1051,1138
412,10.0,30.0,0.358421053,1076,1138
413,10.0,30.0,0.379210526,1174,1138
414,10.0,30.0,0.4,1093,1138
415,13.0,10.0,0.048867018,438,1138
416,21.0,19.0,0.070799745,436,1138
417,25.0,7.0,0.33155893,402,1138
418,26.0,9.0,0.06300008,415,1138
419,27.0,6.0,0.045721737,447,1138
420,27.0,21.0,0.01979168,390,1138
421,27.0,21.0,0.020698171,417,1138
422,27.0,21.0,0.16167542099999999,407,1138
423,28.0,5.0,0.172790495,373,1138
424,28.0,14.0,0.240656838,507,1138
425,29.0,22.0,0.335102087,965,1138
426,31.0,16.0,0.019354351000000002,392,1138
427,32.0,18.0,0.157355919,448,1138
428,32.0,18.0,0.17182812100000003,510,1138
429,37.0,5.0,0.045721737,473,1138
430,39.0,18.0,0.394741855,942,1138
431,39.0,19.0,0.053864037999999996,421,1138
432,39.0,21.0,0.197266859,388,1138
433,39.0,21.0,0.197266859,422,1138
434,39.0,21.0,0.197266859,433,1138
435,42.0,16.0,0.254917145,440,1138
436,42.0,16.0,0.254921167,434,1138
437,42.0,16.0,0.259214347,385,1138
438,42.0,16.0,0.261084832,440,1138
439,42.0,16.0,0.261084832,462,1138
440,42.0,16.0,0.261084832,491,1138
441,44.0,5.0,0.120372511,394,1138
442,44.0,7.0,0.038231137000000005,381,1138
443,44.0,24.0,0.038231137000000005,452,1138
444,45.0,5.0,0.394741855,422,1138
445,45.0,5.0,0.394741855,433,1138
446,45.0,5.0,0.394741855,490,1138
447,46.0,11.0,0.311256283,379,1138
448,46.0,11.0,0.328661931,425,1138
449,46.0,18.0,0.366254146,599,1138
450,46.0,18.0,0.372212936,683,1138
451,47.0,16.0,0.376212383,573,1138
452,47.0,26.0,0.23609454600000002,418,1138
453,47.0,26.0,0.24815249600000003,403,1138
454,49.0,21.0,0.032882392,462,1138
455,49.0,21.0,0.032882392,482,1138
456,49.0,21.0,0.032882392,486,1138
457,49.0,21.0,0.247464354,396,1138
458,55.0,21.0,0.070799745,488,1138
459,61.0,15.0,0.045721737,446,1138
460,63.0,11.0,0.06301254,404,1138
461,63.0,11.0,0.260818132,483,1138
462,63.0,30.0,0.338445008,523,1138
463,64.0,17.0,0.046400802000000005,499,1138
464,65.0,10.0,0.054946733,452,1138
465,65.0,16.0,0.380741791,524,1138
466,65.0,16.0,0.381506701,532,1138
467,65.0,16.0,0.387761843,472,1138
468,65.0,16.0,0.38779773700000003,500,1138
469,66.0,6.0,0.059682087,455,1138
470,66.0,10.0,0.045721737,401,1138
471,66.0,17.0,0.048867018,408,1138
472,66.0,21.0,0.090332508,441,1138
473,66.0,25.0,0.092671683,445,1138
474,67.0,15.0,0.048867018,498,1138
