	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
20	600	1924.339229492693	0.0	5.0	14.0	331.80105474875614	427.70508646159334	1496.6341430311004	0.7292048243851861	0.0	0.013185951750268876	-0.017292670180795083	-0.04250063031874738	0.013185951750268876	-0.017292670180795083	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	603.8341980932663	0.22125521285197472	0.1692604829894046	0.5406630559214667	0.5	1.0	0.0	0.0	0.18549511854951187	0.011157601115760111	0.0	0.9000086655468706	0.0753061978283628	0.024685136624766
21	630	1933.8304589692675	0.0	5.0	14.0	340.68475928355116	429.8390230571399	1503.9914359121215	0.7299112097420674	0.0	0.007764955045482174	-0.014263183417212914	-0.039200791218899356	0.007764955045482174	-0.014263183417212914	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	633.8627217895541	0.22125521285197497	0.16926048298940452	0.5406630559214667	0.5	1.0	0.0	0.2987721691678035	0.18281036834924966	0.004092769440654843	0.0	0.3555760095355058	0.492075869730539	0.15234812073395496
22	660	1925.382054964594	0.0	5.0	14.0	346.7268053156338	427.9981506604845	1497.38390430411	0.7299311837760114	0.0	0.004313978595981147	-0.004280523020869261	-0.03524656851112125	0.004313978595981147	-0.004280523020869261	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	663.9822527886976	0.22125521285197514	0.16926048298940446	0.5406630559214668	0.5	1.0	0.0	0.0456989247311828	0.1868279569892473	0.07795698924731183	0.0	0.45916247678440136	0.4099591330698037	0.13087839014579442
23	690	1895.3983385658053	0.0	5.0	14.0	339.720890164998	421.87708847934897	1473.521250086456	0.7286993316085391	0.0	0.0075409401060891204	-0.010484488607362855	-0.0343120465037568	0.0075409401060891204	-0.010484488607362855	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	693.8069439937819	0.2212552128519744	0.16926048298940471	0.5406630559214666	0.5	1.0	0.0	0.0	0.1839080459770115	0.15517241379310345	0.0	0.644086683622639	0.26901364685970036	0.0868996695176614
24	720	1889.4919983323834	0.0	5.0	14.0	341.6280139657862	420.8829955519006	1468.6090027804835	0.7282070410276487	0.0	0.005094535028926646	-0.006908161722486797	-0.037233894780657736	0.005094535028926646	-0.006908161722486797	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	723.7767881158816	0.22125521285197405	0.16926048298940483	0.5406630559214665	0.5	1.0	0.0	0.0	0.17134416543574593	0.05760709010339734	0.0	0.8005294529484716	0.15042581148608794	0.049044735565440624
25	750	1899.0769520572833	0.0	5.0	14.0	350.43983326757814	423.0177929048597	1476.0591591524255	0.7281387827505821	0.0	0.005767658963972337	-0.003944036167174621	-0.036726467803780194	0.005767658963972337	-0.003944036167174621	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	753.9211954605046	0.22125521285197422	0.16926048298940477	0.5406630559214665	0.5	1.0	0.0	0.0	0.16448326055312956	0.00727802037845706	0.0	0.9005776724708413	0.07488367504222694	0.024538652486931985
26	780	1896.807193731286	0.0	5.0	14.0	356.96340715979426	422.43310185143383	1474.374091879851	0.7285188605794505	0.0	0.005854604929237287	-0.0016757429058982783	-0.03295108503546358	0.005854604929237287	-0.0016757429058982783	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	783.9741940685392	0.22125521285197455	0.16926048298940466	0.5406630559214666	0.5	1.0	0.0	0.32152974504249293	0.1671388101983003	0.00141643059490085	0.0	0.36125068844389263	0.48765562237710164	0.15109368917900562
27	810	1907.806660086039	0.0	5.0	14.0	367.39041250695055	424.8932640199402	1482.9133960660988	0.7284767515104623	0.0	0.003872199510447582	0.00015090842128359858	-0.032346534828234325	0.003872199510447582	0.00015090842128359858	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	813.6724437880031	0.2212552128519743	0.16926048298940474	0.5406630559214665	0.5	1.0	0.0	0.06791907514450866	0.16907514450867053	0.09393063583815028	0.0	0.4612999437349368	0.40841473283844426	0.1302853234266192
28	840	1897.1737559331218	0.0	5.0	14.0	364.8344161950342	422.9638722517849	1474.2098836813357	0.7279246372889252	0.0	-0.003860580157292997	0.0011334230992360971	-0.026198430808538526	-0.003860580157292997	0.0011334230992360971	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	843.7451731781755	0.22125521285197336	0.16926048298940505	0.5406630559214662	0.5	1.0	0.0	0.0	0.1671875	0.1453125	0.0	0.6426386348884305	0.27016165356895466	0.08719971154261486
29	870	1899.6763669676902	0.0	5.0	14.0	362.04615536978247	423.90160584477394	1475.7747611229163	0.7279524623868973	0.0	-0.016398839854820713	0.007097362471732164	-0.01329564058869489	-0.016398839854820713	0.007097362471732164	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	873.6623959233249	0.2212552128519727	0.16926048298940527	0.540663055921466	0.5	1.0	0.0	0.0	0.15789473684210525	0.05592105263157895	0.0	0.7979800084522006	0.15238404418932064	0.04963594735847864
